,GEOID20,NAME,NAME20,CON20D,CON20R,STATEFP20,VAP20,2MOREVAP20,BVAP20,HISP20
2743,42059000420,WAYNE DISTRICT WEST,WAYNE DISTRICT WEST,40.0,170.0,42.0,357.0,15.0,0.0,8.0
2744,42021001710,STONYCREEK DISTRICT 02,STONYCREEK DISTRICT 02,86.0,141.0,42.0,419.0,5.0,4.0,7.0
2745,42003001670,DRAVOSBURG DISTRICT 02,DRAVOSBURG DISTRICT 02,102.0,170.0,42.0,382.0,1.0,12.0,1.0
2746,42003002211,FOREST HILLS DISTRICT 01,FOREST HILLS DISTRICT 01,401.0,138.0,42.0,579.0,9.0,35.0,21.0
2747,42003001080,CHALFANT,CHALFANT,271.0,175.0,42.0,630.0,24.0,88.0,22.0
2748,42003004890,MUNHALL DISTRICT 10,MUNHALL DISTRICT 10,223.0,191.0,42.0,645.0,8.0,3.0,10.0
2749,42061000010,ALEXANDRIA,ALEXANDRIA,78.0,137.0,42.0,259.0,7.0,0.0,14.0
2750,42061000060,CARBON,CARBON,29.0,145.0,42.0,257.0,2.0,0.0,3.0
2751,42061000180,HUNTINGDON DISTRICT 01,HUNTINGDON DISTRICT 01,127.0,129.0,42.0,462.0,8.0,14.0,7.0
2752,42121000640,ROUSEVILLE,ROUSEVILLE,59.0,158.0,42.0,345.0,17.0,0.0,1.0
2753,42133001300,YORK WARD 12 PRECINCT 02,YORK WARD 12 PRECINCT 02,408.0,154.0,42.0,1453.0,67.0,293.0,863.0
2754,42125000620,COKEBURG,COKEBURG,117.0,160.0,42.0,489.0,19.0,1.0,6.0
2755,42101002107,PHILADELPHIA WARD 21 PRECINCT 07,PHILADELPHIA WARD 21 PRECINCT 07,543.0,132.0,42.0,1147.0,34.0,41.0,87.0
2756,42101000519,PHILADELPHIA WARD 05 PRECINCT 19,PHILADELPHIA WARD 05 PRECINCT 19,769.0,116.0,42.0,1780.0,45.0,23.0,57.0
2757,42069001605,Scranton Ward 07,Scranton Ward 07,347.0,172.0,42.0,2346.0,44.0,335.0,481.0
2758,42059000020,CARMICHAELS,CARMICHAELS,65.0,174.0,42.0,360.0,11.0,6.0,2.0
2759,42129000770,HEMPFIELD DISTRICT HIGH PARK,HEMPFIELD DISTRICT HIGH PARK,95.0,157.0,42.0,376.0,15.0,2.0,6.0
